,model,val_roc_auc,train_roc_auc,val_accuracy,train_accuracy,val_f1_score,train_f1_score,features,preprocessing,n_jobs,random_state,max_depth,n_estimators,gamma,learning_rate,objective,use_label_encoder,base_score,booster,colsample_bylevel,colsample_bynode,colsample_bytree,gpu_id,importance_type,max_delta_step,min_child_weight,monotone_constraints,num_parallel_tree,reg_alpha,reg_lambda,scale_pos_weight,subsample,tree_method,validate_parameters,eval_metric,seed
154,XGBClassifier,0.8826658091025654,0.999986426822892,,,,,,,,,37.0,,,0.11629025827870534,binary:logistic,,,,,,0.9856115879518929,,,,1.0,,,,,1.1591356953106204,0.5486995203915338,,,error,
155,XGBClassifier,0.8825950475112594,0.9999910627319748,,,,,,,,,20.0,,,0.05,binary:logistic,,,,,,1.0,,,,1.0,,,,,2.0,1.0,,,logloss,
156,XGBClassifier,0.8824803092007408,0.9954195193535702,,,,,,,,,54.0,,,0.050724515012943026,binary:logistic,,,,,,0.3057948873266324,,,,1.0,,,,,0.6466635970894963,0.3617661027713019,,,error,
157,XGBClassifier,0.882180177499051,0.9894660105928516,,,,,,,,,33.0,,,0.06293141979746078,binary:logistic,,,,,,0.3313922794512218,,,,4.0,,,,,1.8504113226967032,0.3248269084667112,,,logloss,
159,XGBClassifier,0.8813769426516033,0.9998380080880642,,,,,,,,,44.0,,,0.29378295993698544,binary:logistic,,,,,,0.746636571966248,,,,10.0,,,,,0.6232105134935711,0.9615600973068572,,,logloss,
160,XGBClassifier,0.8812599174614777,1.0,,,,,,,,,22.0,,,0.2706360956500273,binary:logistic,,,,,,0.4535800931216052,,,,1.0,,,,,1.9704462379387373,0.8343050020093093,,,logloss,
161,XGBClassifier,0.8806528277343105,0.9999125868894162,,,,,,,,,54.0,,,0.22348117728637393,binary:logistic,,,,,,0.43307303825547,,,,4.0,,,,,1.1683539300848027,0.6801053759819217,,,logloss,
164,XGBClassifier,0.8795782832877919,0.9561024402114452,,,,,,,,,49.0,,,0.15192492707514377,binary:logistic,,,,,,0.3406743798205503,,,,10.0,,,,,0.6943176874579471,0.3297668234222566,,,error,
172,XGBClassifier,0.8778755716416594,0.9977678588945584,,,,,,,,,24.0,,,0.1046969932564704,binary:logistic,,,,,,0.658519895551086,,,,1.0,,,,,0.5100844272404343,0.3043128850672882,,,error,
188,XGBClassifier,0.8722069933556561,0.9999559827601534,,,,,,,,,57.0,,,0.28985371222334416,binary:logistic,,,,,,0.3637075057136415,,,,2.0,,,,,0.7074886811610557,0.5677491429856629,,,error,
