model,val_roc_auc,train_roc_auc,val_accuracy,train_accuracy,val_f1_score,train_f1_score,features,preprocessing,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,splitter,bootstrap,max_samples,n_estimators,oob_score,algorithm,leaf_size,metric,metric_params,n_neighbors,p,weights,break_ties,cache_size,coef0,decision_function_shape,degree,gamma,kernel,probability,shrinking,alpha,average,early_stopping,epsilon,eta0,learning_rate,loss,n_iter_no_change,power_t,shuffle,validation_fraction,base_estimator,objective,use_label_encoder,base_score,booster,colsample_bylevel,colsample_bynode,colsample_bytree,gpu_id,importance_type,interaction_constraints,max_delta_step,min_child_weight,missing,monotone_constraints,num_parallel_tree,reg_alpha,reg_lambda,scale_pos_weight,subsample,tree_method,validate_parameters,verbosity,eval_metric,class_prior,fit_prior,priors,var_smoothing,seed
XGBClassifier,0.9296948796015274,1.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29999999999999993,,,,,,,binary:logistic,,,,,,1.0,,,,,1.0,,,,,,2.0,1.0,,,,error,,,,,
XGBClassifier,0.9296160576944512,1.0,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2740513427501195,,,,,,,binary:logitraw,,,,,,0.5369603249382832,,,,,1.0,,,,,,1.0140663352652188,0.9839610405968464,,,,logloss,,,,,
XGBClassifier,0.9295150621498792,0.9996934703613706,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050896814570816434,,,,,,,binary:logitraw,,,,,,0.6783770449450365,,,,,1.0,,,,,,1.266779092911361,0.5263795715566936,,,,error,,,,,
XGBClassifier,0.9291879512355136,1.0,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2513985124090886,,,,,,,binary:logistic,,,,,,0.3161559347206545,,,,,1.0,,,,,,1.820294536456791,0.9705725632877312,,,,error,,,,,
RandomForestClassifier,0.928741452998258,1.0,,,,,,,,,,,,,,,,,,,,,,,,50.0,sqrt,,,,,,,,,,0.99,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9286423815574784,0.9999247874462444,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.305286221976692,,,,,1.0,,,,,,0.5763067381727738,1.0,,,,error,,,,,
RandomForestClassifier,0.9286259802313596,1.0,,,,,,,,,,,,,,,,,,,,,,,,46.0,sqrt,,,,,,,,,,0.99,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9285572698214536,1.0,,,,,,,,,,,,,,,,,,,,,,,,47.0,sqrt,,,,,,,,,,0.99,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.928331817935726,1.0,,,,,,,,balanced,,,,,,,,,,,,,,,,50.0,sqrt,,,,,,,,,,0.99,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9282768549156738,0.9999995222914724,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17611933190752532,,,,,,,binary:logistic,,,,,,0.9731547260432952,,,,,1.0,,,,,,1.6148110383568677,0.5721341477977899,,,,logloss,,,,,
RandomForestClassifier,0.928276058734794,1.0,,,,,,,,,,,,,,,,,,,,,,,,50.0,sqrt,,,,,,,,,,0.9611562641732488,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.928222834042996,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.0,sqrt,,,,,,,,,,0.99,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.928159736708291,1.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2917620858009064,,,,,,,binary:logistic,,,,,,0.6310856330414553,,,,,2.0,,,,,,1.9637124131319204,0.9867901492069786,,,,error,,,,,
XGBClassifier,0.9280069761368668,0.9996001579622864,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11206877376279216,,,,,,,binary:logitraw,,,,,,0.5379248292657879,,,,,10.0,,,,,,1.964553847061136,1.0,,,,logloss,,,,,
RandomForestClassifier,0.9279525306343864,0.9999999469212748,,,,,,,,balanced,,,,,,,,,,,,,,,,31.0,sqrt,,,,,,,,,,0.99,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9279297465915496,1.0,,,,,,,,balanced,,,,,,,,,,,,,,,,40.0,sqrt,,,,,,,,,,0.99,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9279050782539648,1.0,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2944320621434595,,,,,,,binary:logistic,,,,,,0.963701311071092,,,,,1.0,,,,,,0.8426734473986651,0.930159019652885,,,,error,,,,,
RandomForestClassifier,0.9277536048416288,0.999999018043582,,,,,,,,,,,,,,,,,,,,,,,,30.0,sqrt,,,,,,,,,,0.99,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9275488138497258,0.9999420380319682,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09291181764776255,,,,,,,binary:logitraw,,,,,,0.4517533903900386,,,,,1.0,,,,,,0.5156666356009317,0.5808933492444958,,,,logloss,,,,,
XGBClassifier,0.927536287270554,0.9999187099321972,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051052285259090634,,,,,,,binary:logitraw,,,,,,0.8039431105956937,,,,,1.0,,,,,,0.7269711151084042,0.6743056680974484,,,,logloss,,,,,
XGBClassifier,0.927502781325206,0.9992808628902216,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09016719323452023,,,,,,,binary:logistic,,,,,,0.9963190704354976,,,,,10.0,,,,,,1.6525060185988654,0.9998296901865068,,,,logloss,,,,,
XGBClassifier,0.9274818948467988,0.9999251589973216,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logitraw,,,,,,0.3,,,,,1.0,,,,,,0.5,1.0,,,,logloss,,,,,
RandomForestClassifier,0.9273665415070323,0.9999161886927452,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,25.0,sqrt,,,,,,,,,,0.99,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
